"cond-mat/0508175","Roberto D'Agosta","Roberto D'Agosta and Giovanni Vignale","Relaxation in time-dependent current-density functional theory","4 pages, 2 figures, Revtex4. Submitted to Physical Review Letters",,"10.1103/PhysRevLett.96.016405",,"cond-mat.mes-hall",,"  We apply the time-dependent current-density functional theory to the study of
the relaxation of a closed many-electron system evolving from an
non-equilibrium initial state. We show that the self-consistent unitary time
evolution generated by the time dependent exchange-correlation vector potential
irreversibly drives the system to equilibrium. We also show that the energy
dissipated in the Kohn-Sham system is related to the entropy production in the
real system.
","[{""version"":""v1"",""created"":""Sat, 6 Aug 2005 17:32:10 GMT""}]","2009-11-11"
"cond-mat/0508176","Colin Benjamin","Colin Benjamin","Detecting a true quantum pump effect","8 pages, 8 figures, accepted for publication in European Physical
  Journal B","European Physical Journal B 52, 403 (2006)","10.1140/epjb/e2006-00298-2",,"cond-mat.mes-hall cond-mat.mtrl-sci quant-ph",,"  Even though quantum pumping is a very promising field, it has unfortunately
not been unambiguously experimentally detected. The reason being that in the
experiments the rectification effect overshadows the pumped current. One of the
better known ways to detect it is by using the magnetic field symmetry
properties of the rectified and pumped currents. The rectified currents are
symmetric with respect to magnetic field reversal while the pumped currents do
not possess any definite symmetry with respect to field reversal. This feature
has been exploited in some recent works. In this work we look beyond this
magnetic field symmetry properties and provide examples wherein the nature or
magnitudes of the pumped and rectified currents are exactly opposite enabling
an effective distinction between the two.
","[{""version"":""v1"",""created"":""Sat, 6 Aug 2005 17:41:21 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jun 2006 13:38:23 GMT""},{""version"":""v3"",""created"":""Mon, 30 Oct 2006 16:29:37 GMT""}]","2009-11-11"
"cond-mat/0508177","Thierry Giamarchi","C. J. Bolech and T. Giamarchi","Tunnelling in organic superconductors","Proceedings of the Yukawa Kyoto International Symposium 2004 on
  Strongly Correlated Electrons, to be published as a special volume of
  Progress of Theoretical Physics Supplement","Prog. Theor. Phys. Suppl. 160, 28 (2005)","10.1007/s10909-006-9022-1",,"cond-mat.str-el cond-mat.supr-con",,"  We discuss the possibility of deciding on the symmetry of the superconducting
phase in the organic superconductors (Bechgaard salts), using tunnelling
experiments. We first briefly review the properties of organic superconductors,
and the possibility to have unconventional (triplet) superconductivity in these
systems. We then present a simple scheme for computing the full current-voltage
characteristics for tunnelling experiments within the framework of the
non-equilibrium Keldysh Green function formalism. This formalism is flexible
enough to address different pairing symmetries combined with magnetic fields
and finite temperatures at arbitrary bias voltages. We then discuss extensively
how to apply these results to probe for the symmetry of the superconducting
order parameter.
","[{""version"":""v1"",""created"":""Sat, 6 Aug 2005 18:14:07 GMT""}]","2018-05-09"
"cond-mat/0508178","Jaroslav Chovan","J. Chovan, E. G. Kavousanaki, and I. E. Perakis","Ultrafast light-induced magnetization dynamics in ferromagnetic
  semiconductors","4 pages, 2 figures","Phys. Rev. Lett. 96, 057402 (2006)","10.1103/PhysRevLett.96.057402",,"cond-mat.str-el",,"  We develop a theory of the magnetization dynamics triggered by ultrafast
optical excitation of ferromagnetic semiconductors. We describe the effects of
the strong carrier spin relaxation on the nonlinear optical response by using
the Lindblad semigroup method. We demonstrate magnetization control during
femtosecond timescales via the interplay between circularly polarized optical
excitation, hole-spin damping, polarization dephasing, and the Mn-hole spin
interactions. Our results show a light-induced magnetization precession and
relaxation for the duration of the optical pulse.
","[{""version"":""v1"",""created"":""Sun, 7 Aug 2005 02:11:49 GMT""}]","2008-08-04"
"cond-mat/0508179","Yoav Tsori","Yoav Tsori, David Andelman, Chin-Yet Lin and M. Schick","Block Copolymers in Electric Fields: A Comparison of Single-Mode and
  Self-Consistent Field Approximations","6 pages, 3 figures, submitted","Macromolecules 38, 289-293 (2006)","10.1021/ma051715v",,"cond-mat.soft cond-mat.mtrl-sci",,"  We compare two theoretical approaches to dielectric diblock copolymer melts
in an external electric field. The first is a relatively simple analytic
expansion in the relative copolymer concentration, and includes the full
electrostatic contribution consistent with that expansion. It is valid close to
the order-disorder transition point, the weak segregation limit. The second
employs self-consistent field (SCF) theory and includes the full electrostatic
contribution to the free energy at any copolymer segregation. It is more
accurate but computationally more intensive. Motivated by recent experiments,
we explore a section of the phase diagram in the three-dimensional parameter
space of the block architecture, the interaction parameter and the external
electric field. The relative stability of the lamellar, hexagonal and distorted
body-centered-cubic (bcc) phases is compared within the two models. As function
of an increasing electric field, the distorted bcc region in the phase diagram
shrinks and disappears above a triple point, at which the lamellar, hexagonal
and distorted bcc phases coexist. We examine the deformation of the bcc phase
under the influence of the external field. While the elongation of the spheres
is larger in the one-mode expansion than that predicted by the full SCF theory,
the general features of the schemes are in satisfactory agreement. This
indicates the general utility of the simple theory for exploratory
calculations.
","[{""version"":""v1"",""created"":""Sun, 7 Aug 2005 08:50:25 GMT""}]","2012-01-31"
"cond-mat/0508180","Alireza Bahraminasab","A. Bahraminasab, M. Sadegh Movahed, S. D. Nassiri, A. A. Masoudi,
  Muhammad Sahimi","Exact Analysis of Level-Crossing Statistics for (d+1)-Dimensional
  Fluctuating Surfaces","22 pages, 3 figures","JOURNAL OF STATISTICAL PHYSICS 124 (6): 1471-1490 (2006)","10.1007/s10955-006-9179-7",,"cond-mat.stat-mech",,"  We carry out an exact analysis of the average frequency $\nu_{\alpha x_i}^+$
in the direction $x_i$ of positive-slope crossing of a given level $\alpha$
such that, $h({\bf x},t)-\bar{h}=\alpha$, of growing surfaces in spatial
dimension $d$. Here, $h({\bf x},t)$ is the surface height at time $t$, and
$\bar{h}$ is its mean value. We analyze the problem when the surface growth
dynamics is governed by the Kardar-Parisi-Zhang (KPZ) equation without surface
tension, in the time regime prior to appearance of cusp singularities (sharp
valleys), as well as in the random deposition (RD) model. The total number
$N^+$ of such level-crossings with positive slope in all the directions is then
shown to scale with time as $t^{d/2}$ for both the KPZ equation and the RD
model.
","[{""version"":""v1"",""created"":""Sun, 7 Aug 2005 09:06:13 GMT""},{""version"":""v2"",""created"":""Mon, 13 Nov 2006 10:43:12 GMT""}]","2009-11-11"
"cond-mat/0508181","Qing-Feng Sun","Qing-feng Sun and X. C. Xie","The definition of the spin current: The angular spin current and its
  physical consequences","15 pages, 3 figures. Revised version 2 with major update","Phys. Rev. B. 72, 245305 (2005)","10.1103/PhysRevB.72.245305",,"cond-mat.mes-hall",,"  We find that in order to completely describe the spin transport, apart from
spin current (or linear spin current), one has to introduce the angular spin
current. The two spin currents respectively describe the translational and
rotational motion (precession)of a spin. The definitions of these spin current
densities are given and their physical properties are discussed. Both spin
current densities appear naturally in the spin continuity equation. Moreover we
predict that the angular spin current can also induce an electric field
$\vec{E}$, and in particular $\vec{E}$ scales as $1/r^2$ at large distance $r$,
whereas the $\vec{E}$ field generated from the linear spin current goes as
$1/r^3$.
","[{""version"":""v1"",""created"":""Sun, 7 Aug 2005 13:13:44 GMT""}]","2009-11-11"
"cond-mat/0508182","Eriks Klotins","E. Klotins","Nonlinear Fokker-Planck equation for nonlocal and nonconservative model
  Hamiltonians: symplectic integration and application to metastable systems","17 pages, 8 figures",,,,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  Kinetics of metastable systems modeled by Hamiltonians containing nonlocal
and nonconservative terms is reproduced by the Fokker-Planck and imaginary time
Schrodinger equation scheme with subsequent symplectic integration. Example
solutions for ergodicity breaking in ferroelectrics reassure the H-theorem of
global stability [M. Shiino, Phys. Rev. A, Vol 36, pp. 2393-2411 (1987)] and
reproduce spatially extended polarization response in time-dependent external
fields.
","[{""version"":""v1"",""created"":""Sun, 7 Aug 2005 15:27:23 GMT""}]","2007-05-23"
"gr-qc/0508023","Sergiu Vacaru I.","S. Vacaru, P. Stavrinos, E. Gaburov and D. Gon\c{t}a","Clifford and Riemann-Finsler Structures in Geometric Mechanics and
  Gravity","Accepted by Geometry Balkan Press, 693 pages + 3 eps figures, version
  2 with minor modifications, new affiliation and Preface by M. Anastasiei","Differential Geometry -- Dynamical Systems, Monograph #7 (Geometry
  Balkan Press, 2006) http://www.mathem.pub.ro/dgds/mono/va-t.pdf",,,"gr-qc hep-th math-ph math.DG math.MP",,"  The book contains a collection of works on Riemann-Cartan and metric-affine
manifolds provided with nonlinear connection structure and on generalized
Finsler-Lagrange and Cartan-Hamilton geometries and Clifford structures
modelled on such manifolds. The choice of material presented has evolved from
various applications in modern gravity and geometric mechanics and certain
generalizations to noncommutative Riemann-Finsler geometry.
  The authors develop and use the method of anholonomic frames with associated
nonlinear connection structure and apply it to a number of concrete problems:
constructing of generic off-diagonal exact solutions, in general, with
nontrivial torsion and nonmetricity, possessing noncommutative symmetries and
describing black ellipsoid/torus configurations, locally anisotropic wormholes,
gravitational solitons and warped factors and investigation of stability of
such solutions; classification of Lagrange/ Finsler -- affine spaces;
definition of nonholonomic Dirac operators and their applications in
commutative and noncommutative Finsler geometry.
","[{""version"":""v1"",""created"":""Sat, 6 Aug 2005 23:17:39 GMT""},{""version"":""v2"",""created"":""Sat, 11 Mar 2006 01:28:44 GMT""}]","2014-11-17"
"gr-qc/0508024","Yuri Obukhov","Friedrich W. Hehl, Yuri N. Obukhov","Spacetime metric from local and linear electrodynamics: a new axiomatic
  scheme","Latex, 27 pages, 8 eps figures (better quality files are available
  from the authors). Invited lecture, 339th WE Heraeus Seminar on Special
  Relativity, Potsdam, Germany, 13-18 February 2005, To be published in the
  Proceedings","Lect.NotesPhys.702:163-187,2006","10.1007/3-540-34523-X_7",,"gr-qc hep-th physics.class-ph",,"  We consider spacetime to be a 4-dimensional differentiable manifold that can
be split locally into time and space. No metric, no linear connection are
assumed. Matter is described by classical fields/fluids. We distinguish
electrically charged from neutral matter. Electric charge and magnetic flux are
postulated to be conserved. As a consequence, the inhomogeneous and the
homogeneous Maxwell equations emerge expressed in terms of the excitation H and
the field strength F, respectively. H and F are assumed to fulfill a local and
linear ""spacetime relation"" with 36 constitutive functions. The propagation of
electromagnetic waves is considered under such circumstances in the geometric
optics limit. We forbid birefringence in vacuum and find the light cone
including its Lorentzian signature. Thus the conformally invariant part of the
metric is recovered. If one sets a scale, one finds the pseudo-Riemannian
metric of spacetime.
","[{""version"":""v1"",""created"":""Sun, 7 Aug 2005 08:39:28 GMT""}]","2008-11-26"
